col1,col2,col3,col4,col5,col6,col7
33,32,1996-04-12,1998-10-06 00:00:00.0,5,,17
34,33,1996-04-12,1998-10-06 00:00:00.0,5,,17
35,34,1996-04-12,1998-10-06 00:00:00.0,5,,17
36,35,1996-04-12,1998-10-06 00:00:00.0,5,,17
37,36,1996-04-12,1998-10-06 00:00:00.0,5,,17
38,37,1996-04-12,1998-10-06 00:00:00.0,5,,17
39,38,1996-04-12,1998-10-06 00:00:00.0,5,,17
40,39,1996-04-12,1998-10-06 00:00:00.0,5,,17
41,40,1996-04-12,1998-10-06 00:00:00.0,5,,17
42,41,1996-04-12,1998-10-06 00:00:00.0,5,,17
43,42,1996-04-12,1998-10-06 00:00:00.0,5,,17
44,43,1996-04-12,1998-10-06 00:00:00.0,5,,17
45,44,1996-04-12,1998-10-06 00:00:00.0,5,,17
46,45,1992-06-01,1998-10-06 00:00:00.0,5,,
47,45,1992-02-11,1998-10-06 00:00:00.0,5,,
48,46,1997-02-28,1998-10-06 00:00:00.0,5,,
55,52,1999-04-09,1999-04-09 00:00:00.0,4,,
60,57,1999-04-09,1999-04-09 00:00:00.0,4,,
61,58,1998-03-19,1999-04-09 00:00:00.0,4,,19
62,59,1998-03-19,1999-04-09 00:00:00.0,4,,19
63,60,1998-03-19,1999-04-09 00:00:00.0,4,,19
64,61,1998-03-19,1999-04-09 00:00:00.0,4,,19
65,62,1999-03-01,1999-04-09 00:00:00.0,4,,0
66,63,1999-03-01,1999-04-09 00:00:00.0,4,,0
67,64,1999-03-01,1999-04-09 00:00:00.0,4,,0
68,65,1999-03-01,1999-04-09 00:00:00.0,4,,0
69,66,1999-03-01,1999-04-09 00:00:00.0,4,,0
70,67,1999-03-01,1999-04-09 00:00:00.0,4,,0
71,68,1999-03-01,1999-04-09 00:00:00.0,4,,0
72,69,1999-03-01,1999-04-09 00:00:00.0,4,,0
73,70,1999-03-01,1999-04-09 00:00:00.0,4,,0
74,71,1999-03-01,1999-04-09 00:00:00.0,4,,0
75,72,1999-03-01,1999-04-09 00:00:00.0,4,,0
76,73,1999-03-01,1999-04-09 00:00:00.0,4,,0
77,74,1999-02-02,1999-04-09 00:00:00.0,4,,0
78,75,1999-03-01,1999-04-09 00:00:00.0,4,,0
79,76,1999-03-01,1999-04-09 00:00:00.0,4,,0
80,77,1999-03-01,1999-04-09 00:00:00.0,4,,0
81,78,1999-03-01,1999-04-09 00:00:00.0,4,,0
82,79,1999-03-01,1999-04-09 00:00:00.0,4,,0
83,80,1996-10-21,1999-04-09 00:00:00.0,4,,0
84,81,1996-10-21,1999-04-09 00:00:00.0,4,,0
85,82,1996-10-21,1999-04-09 00:00:00.0,4,,0
86,83,1996-10-21,1999-04-09 00:00:00.0,4,,0
87,84,1996-10-21,1999-04-09 00:00:00.0,4,,0
88,85,1996-10-21,1999-04-09 00:00:00.0,4,,0
89,86,1996-10-21,1999-04-09 00:00:00.0,4,,0
90,87,1996-10-21,1999-04-09 00:00:00.0,4,,0
91,88,1996-10-21,1999-04-09 00:00:00.0,4,,0
92,89,1996-10-21,1999-04-09 00:00:00.0,4,,0
93,90,1996-10-21,1999-04-09 00:00:00.0,4,,0
94,91,1996-10-21,1999-04-09 00:00:00.0,4,,0
95,92,1996-10-21,1999-04-09 00:00:00.0,4,,0
96,93,1996-10-21,1999-04-09 00:00:00.0,4,,0
97,94,1996-10-21,1999-04-09 00:00:00.0,4,,0
98,95,1996-10-21,1999-04-09 00:00:00.0,4,,0
99,96,1996-10-21,1999-04-09 00:00:00.0,4,,0
100,97,1996-10-21,1999-04-09 00:00:00.0,4,,0
101,98,1996-10-21,1999-04-09 00:00:00.0,4,,0
102,99,1996-10-21,1999-04-09 00:00:00.0,4,,0
103,100,1996-10-21,1999-04-09 00:00:00.0,4,,0
104,101,1996-10-21,1999-04-09 00:00:00.0,4,,0
140,137,1999-05-04,1999-05-04 00:00:00.0,4,,
150,139,2014-03-17,2014-04-14 00:00:00.0,0,,
153,142,2014-03-17,2014-04-17 00:00:00.0,0,,
154,142,2014-04-17,2014-04-17 00:00:00.0,0,,
155,143,2014-04-17,2014-04-25 12:31:06.266000000,0,,
156,144,2014-04-17,2014-04-25 12:31:06.269000000,0,,
157,145,2014-04-17,2014-04-25 12:31:06.271000000,0,,
158,143,2014-04-17 12:38:13,2014-04-25 12:38:13.528000000,0,,
159,144,2014-04-17 12:38:13,2014-04-25 12:38:13.536000000,0,,
160,145,2014-04-17 12:38:13,2014-04-25 12:38:13.545000000,0,,
161,143,2014-04-17 12:41:23,2014-04-25 12:41:23.202000000,0,,
162,144,2014-04-17 12:41:23,2014-04-25 12:41:23.210000000,0,,
163,145,2014-04-17 12:41:23,2014-04-25 12:41:23.220000000,0,,
164,143,2014-04-17 12:48:58,2014-04-25 12:48:58.909000000,0,,
165,144,2014-04-17 12:48:58,2014-04-25 12:48:58.922000000,0,,
166,145,2014-04-17 12:48:58,2014-04-25 12:48:58.934000000,0,,
167,143,2014-04-17 12:54:46,2014-04-25 12:55:51.990000000,0,,
168,144,2014-04-17 12:54:46,2014-04-25 12:56:22.975000000,0,,
169,145,2014-04-17 12:54:46,2014-04-25 12:56:33.995000000,0,,
170,143,2014-04-17 13:05:59,2014-04-25 13:05:59.562000000,0,,
171,144,2014-04-17 13:05:59,2014-04-25 13:05:59.573000000,0,,
172,145,2014-04-17 13:05:59,2014-04-25 13:05:59.586000000,0,,
