line_number,record_type,address_line1,company_name,date,fax,first_name,initials,last_name,phone,record_type,status
70,SE,,,E QUOTE # 36,,,,,,SE,318
82,unknown,TOTAL   12690.00,,,,,,,,,
83,1,,,,,,,,,1,
84,1,1,,,,,,,,1,
85,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
86,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
87,unknown,85922-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
88,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
89,-,,,,,,,,,-,
90,unknown,,PARKER HANNIFIN CORPORATION,R&D PRECIC,ANUFACTURE INC,TURE I,NUFAC,NC,ANUFACTURE INC,,ION MA
91,unknown,,O-SEAL DIVISION,800 FAULST,OURT,,URT,,OURT,,ICH CO
92,unknown,,7664 PANASONIC WAY,,,,,,,,
93,unknown,,"SAN DIEGO, CA 92154","SAN JOSE,",112,,12,,112,,CA 951
95,unknown,,,,4084520882,40845,,20882,4084520882,,
96,0,,,,,,,,,0,
97,unknown,X     X,UTING LETT,068233116  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
98,-,,          ,05/02/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,I
99,0,,,,,,,,,0,
101,0,"C310005    344.5700    6,891.40",06/01/12           1A,01   20.0 EA,207110-1,-1,07110,,207110-1,0,50-2
102,unknown,"344.5700   13,782.80",1 DWG              06/15/12,40.0,COMP PER 52-207110-,PER 52,COMP,-207110,COMP PER 52-207110-,,MFR
103,unknown,"344.5700   13,782.80",1 DWG              06/22/12,40.0,COMP PER 52-207110-,PER 52,COMP,-207110,COMP PER 52-207110-,,MFR
104,unknown,"344.5700    6,891.40",1 DWG              06/27/12,20.0,COMP PER 52-207110-,PER 52,COMP,-207110,COMP PER 52-207110-,,MFR
105,unknown,,,***,REV H      SQR,S,EV H,QR,REV H      SQR,,DWG R
123,unknown,TOTAL   41348.40,,,,,,,,,
124,1,,,,,,,,,1,
125,1,1,,,,,,,,1,
126,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
127,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
128,unknown,85923-000      002   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
129,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
130,-,,,,,,,,,-,
131,unknown,,PARKER HANNIFIN CORPORATION,R&D PRECIC,ANUFACTURE INC,TURE I,NUFAC,NC,ANUFACTURE INC,,ION MA
132,unknown,,O-SEAL DIVISION,800 FAULST,OURT,,URT,,OURT,,ICH CO
133,unknown,,7664 PANASONIC WAY,,,,,,,,
134,unknown,,"SAN DIEGO, CA 92154","SAN JOSE,",112,,12,,112,,CA 951
136,unknown,,,,4084520882,40845,,20882,4084520882,,
137,0,,,,,,,,,0,
138,unknown,X     X,UTING LETT,068233116  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
139,-,,          ,05/02/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,I
140,0,,,,,,,,,0,
142,0,"C310005    346.8900    6,244.02",05/24/12           1A,01   18.0 EA,205291,,05291,,205291,0,50-2
143,unknown,"346.8900    6,244.02",291 DWG            06/01/12,18.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
144,unknown,"346.8900    4,162.68",291 DWG            06/08/12,12.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
145,unknown,"346.8900    4,162.68",291 DWG            06/15/12,12.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
146,unknown,"346.8900    4,162.68",291 DWG            06/22/12,12.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
147,unknown,"346.8900    4,162.68",291 DWG            06/29/12,12.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
148,unknown,"346.8900    4,162.68",291 DWG            07/06/12,12.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
149,unknown,,,***,REV F      SQR,S,EV F,QR,REV F      SQR,,DWG R
164,unknown,TOTAL   33301.44,,,,,,,,,
165,1,,,,,,,,,1,
166,1,1,,,,,,,,1,
167,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
168,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
169,unknown,85924-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
170,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
171,-,,,,,,,,,-,
172,unknown,,PARKER HANNIFIN CORPORATION,R&D PRECIC,ANUFACTURE INC,TURE I,NUFAC,NC,ANUFACTURE INC,,ION MA
173,unknown,,O-SEAL DIVISION,800 FAULST,OURT,,URT,,OURT,,ICH CO
174,unknown,,7664 PANASONIC WAY,,,,,,,,
175,unknown,,"SAN DIEGO, CA 92154","SAN JOSE,",112,,12,,112,,CA 951
177,unknown,,,,4084520882,40845,,20882,4084520882,,
178,0,,,,,,,,,0,
179,unknown,X     X,UTING LETT,068233116  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
180,-,,          ,05/02/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,I
181,0,,,,,,,,,0,
183,0,"C310005    582.6900   20,394.15",06/01/12           1A,01   35.0 EA,205105,,05105,,205105,0,50-2
184,unknown,"582.6900   13,984.56",105 DWG            06/22/12,24.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
185,unknown,"582.6900   13,984.56",105 DWG            06/29/12,24.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
186,unknown,"582.6900   12,819.18",105 DWG            07/06/12,22.0,COMPLETE PER 52-205,ETE PE,COMPL,R 52-20,COMPLETE PER 52-205,,MFR
187,unknown,,,***,REV B      SQR,S,EV B,QR,REV B      SQR,,DWG R
205,unknown,TOTAL   61182.45,,,,,,,,,
206,1,,,,,,,,,1,
207,1,1,,,,,,,,1,
208,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
209,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
210,unknown,85925-000      002   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
211,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
212,-,,,,,,,,,-,
213,unknown,,PARKER HANNIFIN CORPORATION,R&D PRECIC,ANUFACTURE INC,TURE I,NUFAC,NC,ANUFACTURE INC,,ION MA
214,unknown,,O-SEAL DIVISION,800 FAULST,OURT,,URT,,OURT,,ICH CO
215,unknown,,7664 PANASONIC WAY,,,,,,,,
216,unknown,,"SAN DIEGO, CA 92154","SAN JOSE,",112,,12,,112,,CA 951
218,unknown,,,,4084520882,40845,,20882,4084520882,,
219,0,,,,,,,,,0,
220,unknown,X     X,UTING LETT,068233116  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
221,-,,          ,05/02/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,I
222,0,,,,,,,,,0,
224,0,C310005,1A,01        EA,968378,,68378,,968378,0,50-9
225,unknown,,378 DWG,,COMPLETE PER 52-968,ETE PE,COMPL,R 52-96,COMPLETE PER 52-968,,MFR
226,unknown,"117.5700    2,116.26",378 DWG            05/24/12,18.0,COMPLETE PER 52-968,ETE PE,COMPL,R 52-96,COMPLETE PER 52-968,,MFR
227,unknown,"117.5700    2,116.26",378 DWG            05/31/12,18.0,COMPLETE PER 52-968,ETE PE,COMPL,R 52-96,COMPLETE PER 52-968,,MFR
228,unknown,"117.5700    2,821.68",378 DWG            06/08/12,24.0,COMPLETE PER 52-968,ETE PE,COMPL,R 52-96,COMPLETE PER 52-968,,MFR
229,unknown,"117.5700    1,645.98",378 DWG            06/15/12,14.0,COMPLETE PER 52-968,ETE PE,COMPL,R 52-96,COMPLETE PER 52-968,,MFR
230,unknown,,,***,REV F      SQR,S,EV F,QR,REV F      SQR,,DWG R
246,unknown,TOTAL    8700.18,,,,,,,,,
247,1,,,,,,,,,1,
248,1,1,,,,,,,,1,
249,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
250,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
251,unknown,86017-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
252,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
253,-,,,,,,,,,-,
254,unknown,,PARKER HANNIFIN CORPORATION,SSI MANUFA,NG TECHNOLOGIES,HNOLOG,G TEC,IES,NG TECHNOLOGIES,,CTURIN
255,unknown,,O-SEAL DIVISION,675 EMMETT,ET,,T,,ET,,STREE
256,unknown,,7664 PANASONIC WAY,,,,,,,,
257,unknown,,"SAN DIEGO, CA 92154","BRISTOL, C",102,,02,,102,,T 0601
259,unknown,,,,8605898004,86058,,98004,8605898004,,
260,0,,,,,,,,,0,
261,unknown,X     X,UTING LETT,076356769  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 60
262,-,,          ,05/09/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,O
263,0,,,,,,,,,0,
265,0,"C310001     30.3100   27,279.00",07/23/12 010 -91C0 08,01  900.0 EA,2-2001-0143,-0143,-2001,,2-2001-0143,0,8812
266,unknown,,,,AL-V-SEAL,EAL,L-V-S,,AL-V-SEAL,,META
267,unknown,,,***,REV B      SQR,S,EV B,QR,REV B      SQR,,DWG R
287,unknown,TOTAL   27279.00,,,,,,,,,
288,1,,,,,,,,,1,
289,1,1,,,,,,,,1,
290,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
291,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
292,unknown,86138-000      003   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
293,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
294,-,,,,,,,,,-,
295,unknown,,PARKER HANNIFIN CORPORATION,MARKING ME,INC,,INC,,INC,,THODS
296,unknown,,O-SEAL DIVISION,301 S RAYM,VE,,E,,VE,,OND AV
297,unknown,,7664 PANASONIC WAY,,,,,,,,
298,unknown,,"SAN DIEGO, CA 92154","ALHAMBRA,",803,,03,,803,,CA 918
300,unknown,,,,6262828823,62628,,28823,6262828823,,
301,0,,,,,,,,,0,
302,unknown,X     X,UTING LETT,054803004  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 20
303,-,,          ,05/16/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,E
304,0,,,,,,,,,0,
306,0,C311001      5.6666       85.00,05/24/12 810 -0064 54,01   15.0 LT,202,,02,,202,0,2102
307,unknown,,,,K-O-SEAL,AL,-O-SE,,K-O-SEAL,,GASK
308,EL,,,ECTRO ETCH M,ER BLUEPRINT NOTE 14,EPRINT,R BLU,NOTE 1,ER BLUEPRINT NOTE 14,EL,ARK PE
309,99,,,167-B1716136,,,,,,99,
310,V6,,,200412,,,,,,V6,
311,MO,,,: AJ841R / R,/ QTAG: 41650,: 4165,QTAG,0,/ QTAG: 41650,MO,EV B /
313,0,C311001     60.0000       60.00,05/24/12           57,02    1.0 EA,& PLATE FEE,TE FEE,& PLA,,& PLATE FEE,0,ART
328,unknown,TOTAL     145.00,,,,,,,,,
329,1,,,,,,,,,1,
330,1,1,,,,,,,,1,
331,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
332,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
333,unknown,86168-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
334,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
335,-,,,,,,,,,-,
336,unknown,,PARKER HANNIFIN CORPORATION,HIXSON MET,NISHING,G,ISHIN,,NISHING,,AL FIN
337,unknown,,O-SEAL DIVISION,829 PRODUC,PL,,L,,PL,,TION P
338,unknown,,7664 PANASONIC WAY,,,,,,,,
339,unknown,,"SAN DIEGO, CA 92154",NEWPORT BE,CA 92663,63,A 926,,CA 92663,,"ACH, C"
341,unknown,,,,9496454800,94964,,54800,9496454800,,
342,0,,,,,,,,,0,
343,unknown,X     X,PPLIER TRU,042728112  N,PROX DESTINATION SU,DESTIN,PROX,ATION S,PROX DESTINATION SU,,ET 60
344,-,,          ,05/17/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
345,0,,,,,,,,,0,
347,0,C310001      1.5384       60.00,05/25/12 140 -64C0 08,01   39.0 LT,958047,,58047,,958047,0,50-9
348,unknown,,,,E IN-HOUSE,OUSE,IN-H,,E IN-HOUSE,,MAKE
349,unknown,,,***,REV H      SQR,S,EV H,QR,REV H      SQR,,DWG R
369,unknown,TOTAL      60.00,,,,,,,,,
370,1,,,,,,,,,1,
371,1,1,,,,,,,,1,
372,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
373,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
374,unknown,86178-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
375,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
376,-,,,,,,,,,-,
377,unknown,,PARKER HANNIFIN CORPORATION,MARKING ME,INC,,INC,,INC,,THODS
378,unknown,,O-SEAL DIVISION,301 S RAYM,VE,,E,,VE,,OND AV
379,unknown,,7664 PANASONIC WAY,,,,,,,,
380,unknown,,"SAN DIEGO, CA 92154","ALHAMBRA,",80392663,63,03926,,80392663,,CA 918
382,unknown,,,,6262828823,62628,,28823,6262828823,,
383,0,,,,,,,,,0,
384,unknown,X     X,UTING LETT,054803004  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 20
385,-,,          ,05/17/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
386,0,,,,,,,,,0,
388,0,C310001      0.8500      355.30,05/25/12 050 -64C0 08,01  418.0 EA,928431-1,-1,28431,,928431-1,0,50-9
390,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
410,unknown,TOTAL     355.30,,,,,,,,,
411,1,,,,,,,,,1,
412,1,1,,,,,,,,1,
413,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
414,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
415,unknown,86196-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
416,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
417,-,,,,,,,,,-,
418,unknown,,PARKER HANNIFIN CORPORATION,WESTERN AM,N SPECIALTIES,IALTIE,SPEC,S,N SPECIALTIES,,ERICAN
419,unknown,,O-SEAL DIVISION,11520 JEFF,BLVD #214,#214,BLVD,,BLVD #214,,ERSON
420,unknown,,7664 PANASONIC WAY,,,,,,,,
421,unknown,,"SAN DIEGO, CA 92154",CULVER CIT,9023063,63,90230,,9023063,,"Y, CA"
423,unknown,,,,3103979896,31039,,79896,3103979896,,
424,0,,,,,,,,,0,
425,unknown,X,NTACT BUYE                           X,086561570  N,PROX ORIGIN      CO,ORIGIN,PROX,C,PROX ORIGIN      CO,,ET 60
426,-,,          ,05/18/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,E
427,0,,,,,,,,,0,
429,0,1666A      344.0000      344.00,05/24/12           C3,01    1.0 EA,1750 CL B-2 SEALANT,L B-2,750 C,SEALANT,1750 CL B-2 SEALANT,0,PR-1
431,PI,,,NT KIT,,,,,,PI,
432,TR,,,ACKING: 1ZV9,368603849,849,68603,,368603849,TR,174F03
451,unknown,TOTAL     344.00,,,,,,,,,
452,1,,,,,,,,,1,
453,1,1,,,,,,,,1,
454,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
455,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
456,unknown,86205-000      001   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
457,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
458,-,,,,,,,,,-,
459,unknown,,PARKER HANNIFIN CORPORATION,MARKING ME,INC,,INC,,INC,,THODS
460,unknown,,O-SEAL DIVISION,301 S RAYM,VE,,E,,VE,,OND AV
461,unknown,,7664 PANASONIC WAY,,,,,,,,
462,unknown,,"SAN DIEGO, CA 92154","ALHAMBRA,",80323063,63,03230,,80323063,,CA 918
464,unknown,,,,6262828823,62628,,28823,6262828823,,
465,0,,,,,,,,,0,
466,unknown,X     X,UTING LETT,054803004  N,PROX ORIGIN      RO,ORIGIN,PROX,R,PROX ORIGIN      RO,,ET 20
467,-,,          ,05/21/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
468,0,,,,,,,,,0,
470,0,C310001     21.2500       85.00,05/24/12 100 -64C0 08,01    4.0 LT,115,,15,,115,0,9181
471,unknown,,,,EGRAL SEAL,SEAL,GRAL,,EGRAL SEAL,,INTE
472,unknown,,,***,REV D      SQR,S,EV D,QR,REV D      SQR,,DWG R
474,0,C311001     45.0000       45.00,05/24/12           57,02    1.0 EA,-UP,,UP,,-UP,0,SET-
492,unknown,TOTAL     130.00,,,,,,,,,
493,1,,,,,,,,,1,
494,1,1,,,,,,,,1,
495,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
496,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
497,unknown,86240-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
498,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
499,-,,,,,,,,,-,
500,unknown,,PARKER HANNIFIN CORPORATION,BARRY AVEN,ATING CO INC,CO INC,TING,,ATING CO INC,,UE PLA
501,unknown,,O-SEAL DIVISION,2210 BARRY,UE,,E,,UE,,AVENU
502,unknown,,7664 PANASONIC WAY,,,,,,,,
503,unknown,,"SAN DIEGO, CA 92154",WEST LOS A,"S, CA 900641488",900641,", CA",488,"S, CA 900641488",,NGELES
505,unknown,,,,3104780078,31047,,80078,3104780078,,
506,0,,,,,,,,,0,
507,unknown,X     X,NDOR TRUCK,011525125  N,PROX DESTINATION VE,DESTIN,PROX,ATION V,PROX DESTINATION VE,,ET 60
508,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
509,0,,,,,,,,,0,
511,0,C310001      0.7900       47.40,05/29/12 070 -64C0 08,01   60.0 EA,201056,,01056,,201056,0,50-2
512,unknown,,,,AINER,,INER,,AINER,,RETA
513,unknown,,,***,REV A      SQR,S,EV A,QR,REV A      SQR,,DWG R
515,0,C310001      0.8500       76.50,05/29/12 070 -64C0 08,02   90.0 EA,828108-3,-3,28108,,828108-3,0,50-8
516,unknown,,,,AINER,,INER,,AINER,,RETA
517,unknown,,,***,REV U      SQR,S,EV U,QR,REV U      SQR,,DWG R
533,unknown,TOTAL     123.90,,,,,,,,,
534,1,,,,,,,,,1,
535,1,1,,,,,,,,1,
536,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
537,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
538,unknown,86241-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
539,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
540,-,,,,,,,,,-,
541,unknown,,PARKER HANNIFIN CORPORATION,THYSSENKRU,TERIAL INC,INC,ERIAL,,TERIAL INC,,PP MAT
542,unknown,,O-SEAL DIVISION,DBA KEN-MA,ALS,,LS,,ALS,,C META
543,unknown,,7664 PANASONIC WAY,14066 BORA,REET,,EET,,REET,,TE STR
544,unknown,,"SAN DIEGO, CA 92154",SANTA FE S,"S, CA 906701488",906701,", CA",488,"S, CA 906701488",,PRINGS
546,unknown,,,,5622154394,56221,,54394,5622154394,,
547,0,,,,,,,,,0,
548,unknown,X,NTACT BUYE                           X,049249883  N,PROX ORIGIN      CO,ORIGIN,PROX,C,PROX ORIGIN      CO,,ET 60
549,-,,          ,05/23/12,DL   DANNY LEUNG  ,DANNY,DL,LEUNG,DL   DANNY LEUNG  ,-,E
550,0,,,,,,,,,0,
552,0,52725,C0,01        EA,"2-H32 .080"" X60""X80""",".080""",-H32,"X60""X80","2-H32 .080"" X60""X80""",0,5052
574,unknown,TOTAL        .00,,,,,,,,,
575,1,,,,,,,,,1,
576,1,1,,,,,,,,1,
577,0,,PARKER HANNIFIN CORPORATION,,,,,,,0,
578,unknown,,O-SEAL DIVISION,,(619) 661-7000,661-70,619),00,(619) 661-7000,,PH# (
579,unknown,86242-000      000   05/23/12,7664 PANASONIC WAY,,(619) 671-3208,671-32,619),08,(619) 671-3208,,FAX (
580,unknown,,"SAN DIEGO, CA 92154",,,,,,,,
581,-,,,,,,,,,-,
582,unknown,,PARKER HANNIFIN CORPORATION,BARRY AVEN,ATING CO INC,CO INC,TING,,ATING CO INC,,UE PLA
583,unknown,,O-SEAL DIVISION,2210 BARRY,UE,,E,,UE,,AVENU
584,unknown,,7664 PANASONIC WAY,,,,,,,,
585,unknown,,"SAN DIEGO, CA 92154",WEST LOS A,"S, CA 900641488",900641,", CA",488,"S, CA 900641488",,NGELES
587,unknown,,,,3104780078,31047,,80078,3104780078,,
588,0,,,,,,,,,0,
589,unknown,X     X,NDOR TRUCK,011525125  N,PROX DESTINATION VE,DESTIN,PROX,ATION V,PROX DESTINATION VE,,ET 60
590,-,,          ,05/23/12,BD   BRIAN DEARB  ,BRIAN,BD,DEARB,BD   BRIAN DEARB  ,-,O
591,0,,,,,,,,,0,
593,0,C310001      2.0700      113.85,05/25/12 190 -64C0 08,01   55.0 EA,968196,,68196,,968196,0,50-9
594,unknown,,,,AINER,,INER,,AINER,,RETA
595,unknown,,,***,REV B      SQR,S,EV B,QR,REV B      SQR,,DWG R
597,0,C310001      7.0500       42.30,05/25/12 120 -64C0 08,02    6.0 LT,818211-8,-8,18211,,818211-8,0,50-8
598,unknown,,,,AINER,,INER,,AINER,,RETA
599,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
601,0,C310001      0.2600       59.28,05/25/12 080 -64C0 08,03  228.0 EA,042862,,42862,,042862,0,50-0
602,unknown,,,,AINER,,INER,,AINER,,RETA
603,unknown,,,***,REV A      SQR,S,EV A,QR,REV A      SQR,,DWG R
605,0,C310001      0.6000        4.20,05/25/12 110 -64C0 08,04    7.0 EA,828140-3,-3,28140,,828140-3,0,50-8
606,unknown,,,,AINER,,INER,,AINER,,RETA
607,unknown,,,***,REV NC     SQR,S,EV NC,QR,REV NC     SQR,,DWG R
615,unknown,TOTAL     219.63,,,,,,,,,
